date,description,amount,transaction_type,check_number,lender_matches,is_lender_transfer,is_lender_payment
2025-10-01,EDI PYMNTS ATLANTIC CORP OF 0009ROA STAFFING LLC CUSTOMER ID 001487399002909,3364.12,deposit,,,false,false
2025-10-01,7864084809 UFCE/ 8449090040 ROA STAFFING LL CUSTOMER ID,8378.70,deposit,,United,true,false
2025-10-01,INCOMING WIRE TRANSFER WIRE REF# 20251001-00019595,21495.00,deposit,,,false,false
2025-10-01,DEBIT CARD RECURRING PYMT GOTHAM HAPymt1of4 09-30 866-783-8247 CT 8149,65.99,withdrawal,,,false,false
2025-10-01,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92229CUSTOMER ID W133,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-01,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-01,ACH CORP DEBIT PAYMENTS BYZFUNDER ROA STAFFING LLCCUSTOMER ID 000000000000050,2115.00,withdrawal,,Byzfunder,false,true
2025-10-01,BUS ONLINE DOMESTIC WIRE WIRE REF# 20251001-00031037,37859.08,withdrawal,,,false,false
2025-10-02,Check #3705,683.00,check,3705,,false,false
2025-10-02,Check #3718,708.75,check,3718,,false,false
2025-10-02,DAILY CAP OF 3 FEES 36,36.00,deposit,,,false,false
2025-10-02,DAILY CAP OF 3 FEES 36,36.00,deposit,,,false,false
2025-10-02,DAILY CAP OF 3 FEES 36,36.00,deposit,,,false,false
2025-10-02,DEBIT CARD RECURRING PYMT GOOGLE *GSUITE_roa 10-01 cc@google.com CA 3918,26.40,withdrawal,,,false,false
2025-10-02,ACH CORP DEBIT SUPERFAST Top Choice Finan ROA STAFFING LLCCUSTOMER ID,29.95,withdrawal,,TOP CHOICE FINANCIAL LLC,false,true
2025-10-02,ACH CORP DEBIT ACHPAYMENT GOTORRO ROA STAFFING LLC 92274CUSTOMER ID W134,372.50,withdrawal,,Torro Business Funding,false,true
2025-10-02,OVERDRAFT ITEM FEE ($36/ITEM) 36,36.00,withdrawal,,,false,false
2025-10-02,ACH CORP DEBIT 7864084809 UFCE/ 8449090040 ROA STAFFING LLCUSTOMER ID,1179.80,withdrawal,,United,false,true
2025-10-02,OVERDRAFT ITEM FEE ($36/ITEM) 36,36.00,withdrawal,,,false,false
2025-10-02,OVERDRAFT ITEM FEE ($36/ITEM) 36,36.00,withdrawal,,,false,false
2025-10-02,OVERDRAFT FEE NOT CHARGED 36,36.00,withdrawal,,,false,false
2025-10-02,RETURNED ITEM FEE NOT CHARGED,36.00,withdrawal,,,false,false
